139	90	45	59
137	87	45	60
140	87	46	61
138	86	45	61
136	84	44	60
135	85	46	57
132	82	46	59
133	80	47	57
133	81	45	58
132	82	44	57
130	84	45	59
128	84	48	60
124	86	45	58
121	86	43	56
118	84	46	57
119	82	45	58
121	81	44	60
123	85	45	61
126	92	46	58
127	90	48	60
132	90	46	60
136	85	47	64
139	77	48	71
140	81	49	63
139	75	50	69
140	75	49	69
137	74	50	74
138	75	52	76
138	77	55	77
137	75	58	83
137	80	60	77
134	75	66	83
134	72	68	88
126	63	79	94
131	62	77	94
132	63	81	98
135	64	84	106
141	70	82	106
144	74	86	106
149	79	86	107
144	88	88	110
140	90	89	116
133	84	93	120
131	71	91	128
137	70	89	120
134	69	82	113
136	69	76	111
133	80	75	99
130	87	68	93
131	83	69	99
132	75	61	103
132	92	61	90
136	100	56	80
136	102	56	76
139	105	55	72
140	104	53	71
143	102	54	69
145	99	52	66
148	86	48	69
152	78	48	73
158	73	49	80
165	71	53	83
175	71	55	85
181	76	60	86
184	80	60	86
179	69	62	98
165	69	71	97
155	67	76	96
155	70	73	92
152	67	78	97
156	64	81	101
159	60	89	105
162	58	95	107
165	49	97	117
169	46	105	125
168	35	114	135
166	41	119	135
172	43	120	139
172	40	123	146
166	38	124	157
166	41	111	151
162	45	100	143
153	49	97	139
141	45	91	142
135	54	81	131
131	55	78	128
126	59	73	119
122	73	76	100
123	73	68	95
119	75	63	89
112	78	63	84
105	74	68	88
102	75	62	84
95	73	62	85
94	73	62	88
87	72	63	90
77	74	68	93
69	73	70	97
59	80	70	93
55	81	67	96
50	85	70	96
49	88	70	97
45	82	79	107
39	79	79	113
39	72	85	121
39	66	93	131
48	62	89	138
50	54	102	148
54	55	108	154
57	57	115	158
62	61	122	164
72	63	120	163
80	69	116	159
84	76	110	148
94	83	103	140
96	82	101	133
102	77	95	133
106	84	88	117
103	81	85	113
104	71	87	114
113	71	77	103
114	67	82	102
116	67	76	95
119	67	74	90
112	60	74	93
108	51	74	96
102	45	72	98
98	49	71	94
96	52	71	89
94	53	72	88
92	59	73	84
87	53	77	92
84	55	78	94
82	53	79	99
80	53	85	101
84	61	87	97
84	55	86	107
83	61	85	112
80	61	90	116
79	58	98	122
93	55	91	127
97	61	91	116
109	53	85	118
110	48	86	121
118	54	87	114
125	62	77	106
124	66	77	98
125	65	78	102
127	73	76	95
131	68	70	104
131	76	74	100
131	79	79	102
134	84	79	103
133	78	89	114
137	87	92	108
136	95	97	104
138	92	100	106
137	92	104	104
134	83	100	110
128	92	103	97
122	87	105	107
117	90	106	109
113	97	109	104
109	101	112	105
109	96	112	115
111	101	132	113
112	110	143	101
115	108	146	99
119	104	152	100
109	95	144	105
108	93	129	107
104	97	135	103
99	91	142	110
95	86	149	120
88	89	162	120
83	90	175	127
78	94	172	118
79	101	195	121
86	97	203	128
92	96	221	136
96	87	220	143
104	81	212	148
103	97	208	129
107	106	212	116
119	103	197	119
92	100	232	130
118	91	201	140
140	97	178	131
151	98	164	118
155	99	155	99
150	96	151	92
135	88	147	86
135	81	130	85
131	85	126	73
124	87	132	69
126	85	116	69
120	80	125	77
113	77	134	78
119	80	125	77
116	77	119	83
114	73	141	92
113	65	144	104
111	66	148	104
110	52	151	122
106	55	162	119
103	40	172	142
103	46	183	135
108	42	192	147
115	37	196	161
120	37	199	166
120	30	199	172
131	28	168	172
144	14	156	179
150	20	155	177
149	9	150	175
149	15	142	178
151	26	128	165
150	37	121	154
156	44	110	149
152	62	110	137
153	67	115	135
157	60	113	139
159	48	110	143
164	50	106	131
168	49	98	125
169	51	95	116
175	57	91	109
174	55	89	109
171	57	88	108
169	64	83	104
166	59	87	108
164	60	89	112
161	60	93	108
158	57	94	112
155	58	93	111
154	58	98	112
152	58	102	115
151	51	108	123
148	44	116	133
144	49	121	133
142	50	125	143
134	45	136	143
132	37	136	156
134	26	140	167
133	14	142	180
137	23	147	169
135	42	134	155
138	28	137	166
131	44	127	146
132	47	129	139
134	45	117	142
133	38	109	147
130	47	101	132
128	51	94	126
125	53	90	116
130	62	80	106
131	61	76	100
138	49	61	108
134	63	60	100
124	66	65	98
117	68	68	99
108	68	73	100
108	67	70	102
104	64	72	103
104	70	73	96
103	76	69	92
96	73	77	101
82	70	87	105
74	65	85	113
63	65	88	115
51	64	100	119
