160	83	56	65
166	81	55	70
175	79	52	67
175	74	53	76
176	74	60	85
182	68	63	85
181	60	67	71
161	45	67	57
161	47	61	48
153	57	62	52
147	69	63	58
137	72	71	60
134	76	72	62
134	79	71	63
136	91	71	60
141	93	70	66
152	95	74	60
179	92	73	64
180	91	76	70
172	87	80	67
170	88	78	65
164	85	81	69
156	86	78	67
149	86	76	68
128	90	70	76
134	89	77	75
158	88	76	66
187	83	65	63
191	80	62	66
201	100	76	61
196	93	84	73
195	85	79	82
193	83	78	77
205	68	82	78
211	65	83	78
216	72	85	77
212	85	78	71
219	90	75	70
212	93	82	70
204	91	81	64
182	63	76	66
117	44	89	64
105	48	81	56
35	45	91	60
-1	51	96	63
5	145	85	61
66	100	80	57
95	58	69	65
115	47	75	58
151	42	68	42
169	42	61	45
184	46	57	46
207	68	58	48
196	76	65	48
194	86	61	52
200	85	55	60
219	70	59	60
229	69	70	55
235	71	71	60
236	73	73	64
231	71	73	65
191	90	70	69
182	104	64	70
172	143	68	72
164	146	75	84
155	121	75	87
148	107	74	83
129	83	77	79
107	57	84	80
111	56	79	77
130	68	73	95
147	73	69	91
149	79	65	85
153	68	64	70
158	56	64	61
169	43	73	56
194	63	65	57
199	70	67	66
197	76	65	72
126	171	82	84
127	188	91	99
101	204	104	109
86	184	106	117
86	147	101	108
94	124	89	107
110	131	91	103
153	129	89	101
161	124	92	99
187	106	90	98
175	82	87	85
158	66	85	84
120	48	84	68
118	46	74	64
107	47	79	65
110	53	75	66
116	61	72	68
124	85	66	63
124	94	66	60
135	80	69	66
158	60	61	59
171	54	60	64
182	70	54	55
183	76	49	51
172	75	52	59
166	87	56	55
161	84	59	62
157	94	56	59
154	92	59	64
157	90	58	65
171	82	57	69
193	83	59	67
227	81	62	69
238	86	68	74
