153	105	26	43
152	99	27	46
151	91	27	49
151	85	26	47
151	79	27	47
152	74	25	47
153	72	23	48
149	69	27	49
146	69	25	48
142	67	26	50
138	66	26	48
131	65	27	50
125	63	27	50
119	63	26	48
112	61	26	48
111	59	26	49
111	58	27	49
111	56	32	49
109	53	33	50
106	51	30	47
101	47	29	48
95	47	33	44
87	44	40	46
83	41	41	47
79	39	33	48
79	38	26	49
79	38	27	48
80	38	26	48
83	39	27	47
86	40	26	48
91	43	26	46
94	46	27	47
97	51	27	46
100	57	27	47
103	62	27	46
108	67	25	48
112	70	27	44
116	71	27	43
119	71	29	40
123	65	28	45
130	59	28	43
134	52	29	44
138	44	30	44
146	45	25	43
148	43	27	41
154	42	27	43
158	41	26	43
161	42	26	44
164	42	25	43
166	44	25	43
169	42	24	42
170	42	25	41
174	41	25	39
181	43	24	39
190	44	24	42
198	48	26	43
205	53	27	43
213	58	24	46
219	62	26	48
224	68	28	47
230	76	29	43
235	86	28	38
244	86	28	36
246	95	29	38
257	94	24	33
259	97	25	29
260	99	26	30
259	101	26	36
257	102	27	44
257	104	28	46
255	110	27	47
245	116	28	47
229	124	30	51
215	135	27	50
