306	5	95	65
312	11	97	77
323	29	84	82
329	60	82	81
337	101	73	69
340	133	72	64
329	154	82	59
322	143	82	64
318	122	80	63
314	92	87	69
300	77	88	59
281	55	91	61
252	49	82	58
241	27	89	76
223	15	92	83
211	12	101	86
207	12	111	90
206	38	104	80
216	62	93	75
222	90	86	74
236	110	87	81
248	138	72	66
257	140	69	52
260	119	74	58
276	81	88	52
287	59	92	53
283	47	86	50
267	28	95	60
248	18	98	66
238	8	103	75
237	5	93	76
238	10	79	80
252	28	86	84
273	25	93	106
286	61	104	91
304	88	110	80
333	127	113	64
355	142	130	84
376	166	127	80
395	176	129	82
416	161	122	98
433	134	113	81
430	117	123	88
413	103	128	90
376	95	122	84
350	88	118	91
338	79	104	93
331	73	103	95
323	70	99	93
318	73	110	91
318	79	109	89
326	95	103	91
332	113	109	86
325	137	113	75
339	125	131	87
354	114	117	97
362	105	136	91
377	97	141	90
394	84	141	95
398	62	152	108
402	31	139	124
386	8	146	136
361	0	152	113
354	2	154	89
350	-2	163	96
350	-2	154	83
346	1	146	76
345	1	127	74
350	9	126	79
357	22	133	86
369	41	136	88
