561	311	22	51
559	310	19	55
552	309	24	59
548	310	27	59
539	312	34	57
535	314	30	56
533	313	30	58
530	313	27	60
529	314	23	58
527	315	23	55
521	316	23	55
517	316	25	55
515	316	25	56
508	316	25	58
505	316	22	57
505	314	20	59
503	314	19	59
498	315	21	56
496	315	22	57
491	316	24	56
484	318	27	54
482	318	29	55
479	319	25	53
479	320	20	52
479	317	17	56
475	317	18	56
471	319	20	54
470	318	20	56
468	318	20	57
462	317	24	58
455	318	30	56
453	315	28	58
453	315	22	56
451	316	22	53
449	314	23	55
445	317	25	49
443	316	23	47
441	316	24	53
435	317	26	50
434	318	27	54
434	322	27	67
428	319	34	72
423	319	44	77
422	320	37	69
419	319	32	58
419	321	26	48
414	321	25	47
411	321	25	49
409	323	26	48
404	324	27	49
401	325	24	51
399	324	24	55
396	325	24	54
393	325	23	55
391	326	23	57
384	326	26	59
379	328	27	56
375	328	31	55
371	330	32	55
369	330	29	56
368	330	24	54
365	330	21	54
360	330	23	54
355	331	28	53
349	332	32	53
344	332	34	53
344	332	30	54
341	333	25	52
339	331	22	54
338	330	21	55
334	330	22	51
329	328	25	55
328	330	23	54
325	331	22	53
319	332	22	52
316	332	24	52
313	331	20	53
311	330	19	55
309	329	20	56
305	328	21	58
301	331	24	51
299	329	24	56
295	329	26	55
289	328	29	57
289	328	26	54
287	327	23	54
285	325	21	56
284	326	21	54
281	325	21	51
278	326	20	45
277	326	20	49
271	326	23	53
269	327	24	51
265	327	26	53
260	328	29	53
257	329	27	54
257	329	25	52
253	329	25	52
250	328	23	55
250	328	22	54
242	329	25	53
236	329	29	51
235	328	27	53
231	328	27	53
229	327	23	56
228	327	23	57
223	327	22	55
220	328	22	52
218	328	23	54
214	328	25	54
210	327	25	54
208	328	25	54
204	329	25	52
201	328	22	53
198	329	22	49
196	327	21	54
190	327	23	54
186	327	25	55
185	327	24	54
181	326	23	52
180	325	23	54
176	325	23	53
173	325	22	52
171	325	21	55
165	326	26	52
160	325	29	54
158	325	28	54
154	325	26	55
151	325	26	55
150	323	23	57
148	319	20	60
145	318	21	64
143	318	22	64
138	321	26	60
132	324	27	58
131	325	27	54
127	323	23	55
124	323	21	51
123	322	21	52
119	321	21	55
113	321	24	61
110	320	27	60
108	322	25	57
105	323	23	55
105	323	21	56
100	322	23	57
97	323	25	56
97	324	24	56
93	324	23	56
89	323	24	56
87	324	24	55
82	322	25	56
79	322	24	54
78	321	23	55
75	321	22	51
74	321	21	51
73	321	21	53
71	321	22	51
67	320	23	52
66	320	24	51
64	320	23	53
62	321	23	50
59	320	26	52
57	321	23	52
55	320	21	54
54	319	21	54
51	319	21	49
46	316	24	55
45	316	24	56
43	316	27	53
42	317	27	52
41	316	25	53
40	316	26	53
39	318	24	49
37	318	26	48
33	319	29	46
28	319	36	51
26	319	38	50
27	319	38	49
27	319	37	49
30	319	34	50
30	319	32	52
29	320	34	50
28	320	36	49
25	320	41	48
25	320	39	48
27	320	38	48
27	320	38	49
28	321	36	49
30	320	33	50
30	320	33	49
27	320	34	49
26	320	36	50
25	320	37	49
26	320	35	50
24	321	38	49
24	320	38	49
25	320	37	49
25	319	38	49
25	319	38	50
24	318	40	51
22	318	41	52
24	317	38	53
24	318	38	51
25	317	39	52
25	317	42	53
24	317	39	52
27	316	35	53
29	316	32	54
29	316	32	52
27	316	34	51
28	316	34	51
27	316	34	52
25	316	35	53
29	316	31	54
28	316	32	53
31	315	29	54
30	314	31	57
32	317	28	52
31	316	29	54
31	315	28	54
34	314	24	56
34	314	25	56
33	314	26	56
33	315	26	55
33	314	28	56
32	314	27	56
32	314	28	55
32	314	28	55
32	313	28	57
32	314	28	54
33	314	26	54
33	314	27	55
32	314	27	56
32	314	27	56
34	313	26	56
35	315	24	55
34	314	25	56
36	314	23	57
34	314	26	56
34	313	26	56
35	313	25	57
34	314	25	56
36	313	23	57
34	314	25	55
35	314	24	55
36	314	22	54
35	313	24	57
35	313	25	56
35	314	24	55
36	315	25	54
36	314	23	56
36	315	24	55
35	314	25	55
34	314	27	54
35	315	25	52
33	316	27	48
35	316	26	48
34	316	26	47
35	314	25	50
34	314	25	49
35	314	24	48
35	314	25	48
35	314	25	50
35	313	25	50
35	313	25	50
35	312	25	51
35	313	25	49
36	312	24	50
36	312	23	50
36	312	23	51
36	312	23	50
36	312	23	51
36	312	23	50
35	311	25	53
35	312	25	55
36	312	24	54
35	312	26	58
36	313	26	59
34	313	27	59
33	314	28	55
32	316	27	48
32	318	27	45
30	319	30	45
32	320	29	45
30	321	30	49
28	322	32	53
27	322	33	55
25	322	35	56
27	322	33	58
29	323	30	58
27	323	32	57
28	324	32	56
29	325	29	52
29	325	28	49
31	325	27	48
28	325	30	47
29	325	29	48
28	325	30	50
28	325	29	47
26	325	32	47
23	324	34	50
19	323	38	51
23	323	32	48
22	321	32	51
24	319	28	55
23	318	29	53
23	316	26	51
21	313	24	54
21	312	23	57
20	310	24	62
17	311	26	59
18	310	24	60
17	310	25	60
14	311	27	57
14	311	28	57
14	310	27	58
12	310	28	59
12	311	28	56
10	311	30	56
6	312	34	56
6	313	34	58
4	313	35	58
4	313	36	57
4	313	36	57
4	315	35	53
4	315	34	54
3	315	36	54
4	314	35	57
3	315	36	55
2	315	36	56
3	314	34	57
3	314	33	57
3	313	32	58
3	312	33	59
2	313	34	59
3	313	33	58
3	314	32	57
2	314	32	57
2	313	32	59
2	315	31	57
2	314	29	57
2	313	28	59
1	312	29	61
0	314	30	57
0	311	27	60
0	311	23	62
